,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2024-03-14,120471.47080199393,99332.41955810344,106524.09428127986,110785.2836585
2024-03-15,120671.89369099394,98464.43289010345,106387.61315329745,110027.2536585
2024-03-18,121413.73511799393,99013.18286210344,107134.98261729746,110679.2036585
2024-03-19,122462.58185999395,99679.66186560343,107657.79125479746,111291.3736585
2024-03-20,124683.25990737606,100480.64186560345,108818.20125479746,112319.02365850001
2024-03-21,125698.83744087604,101555.70186560342,109594.88499579745,112688.09365849999
2024-03-22,125436.59244087605,101324.37838560344,109453.84758679746,112475.9336585
2024-03-25,125434.71244087604,101094.87680260345,110614.50402034572,112164.3236585
2024-03-26,124197.42244087605,100776.01811210344,109557.98714784574,111958.7936585
2024-03-27,126793.38353087605,102512.66756010345,110489.98187234571,112895.83365849999
2024-03-28,127083.0016674939,102867.2789517454,110691.93717334571,112875.9436585
2024-04-01,126655.76533749388,102384.1706022454,111770.61240456911,112679.2536585
2024-04-02,125484.55690049387,100666.7575238454,110887.79336756909,111965.4236585
2024-04-03,125314.70409449389,100923.25904334539,112694.257675435,112086.9736585
2024-04-04,125799.69784699389,100704.89904334542,110334.94034766922,110723.4036585
2024-04-05,126113.5424854939,100991.96995135567,111349.44858016922,111877.02365850001
2024-04-08,127175.92536349391,102393.84229079794,111085.41219800932,111938.9036585
2024-04-09,129340.70373835988,104601.12320355914,111156.40295950933,112069.2936585
2024-04-10,127586.5952658599,102316.46483155913,110796.54677000933,110948.8236585
2024-04-11,127906.78526585989,102151.76146855913,111381.15395800934,111784.2036585
2024-04-12,124924.3047528599,100889.54758905913,109282.84395800933,110246.0436585
2024-04-15,123240.02840434565,99665.50303887588,108485.31422300935,108869.2136585
2024-04-16,121781.47835984566,99059.45738787588,108200.65431200933,108670.31365849999
2024-04-17,121124.42800377822,99101.05014353635,107442.33288200933,108029.4136585
2024-04-18,121123.42952927822,98903.36356353636,105656.046802656,107808.4136585
2024-04-19,121787.1829392782,99593.98356353634,104850.02992351927,106869.1636585
2024-04-22,123429.3255012782,99492.99534453635,105686.13618101926,107850.4036585
2024-04-23,126102.72769227819,99990.92985253636,107826.19549301927,109127.7836585
2024-04-24,127156.51769227818,100993.77246453635,106883.43053701927,109074.7436585
2024-04-25,126810.28769227822,100480.99344303635,107854.6924319702,108661.4736585
2024-04-26,127116.3576922782,100426.62986653636,108410.03415847018,109689.1236585
2024-04-29,128002.25032307548,101935.75380593946,108188.1241584702,110075.8736585
2024-04-30,125596.33895307546,100902.55645693946,106970.66611154363,108336.6036585
2024-05-01,125830.57647207545,100073.4204597998,105820.07180754363,107987.4236585
2024-05-02,126938.16916307545,101189.5464962998,106870.40365404364,108992.9736585
2024-05-03,127520.55311407545,101714.27038179981,107647.18151554363,110341.0736585
2024-05-06,128253.49851207249,102655.0651267998,108434.3914085436,111477.0136585
2024-05-07,128237.3818500725,102793.56229635859,107994.2686085436,111598.56365849999
2024-05-08,128203.8818500725,103824.8600433586,108017.91331954362,111609.61365849999
2024-05-09,128331.77185007249,105155.23631717968,109071.99890154363,112250.5136585
2024-05-10,129750.02185007249,104750.87428817968,108555.3861120436,112396.3736585
2024-05-13,129201.7818500725,104052.23428817966,108426.66447304364,112409.6336585
2024-05-14,129733.2976820725,104753.99133017966,110125.15447304364,112924.56365849999
2024-05-15,130424.17889107249,106668.19837070507,111272.81762854362,114319.07365850001
2024-05-16,130320.40043157249,105222.44500170505,110483.04948604362,114084.81365849999
2024-05-17,130662.12888457249,105306.41985620509,110826.30254404363,114248.3536585
2024-05-20,130041.29418657249,105312.89827620507,111735.19748704362,114378.7436585
